brand_id,site_id,site_name,platform,order_date,reporting_week,orders_count,gross_sales,refunds,net_sales,avg_order_value,avg_prep_time,avg_fulfilment_time,completion_rate,delivery_rating,royalty_rate,royalty_value,raw_content,received_at,intake_method,intake_metadata
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,deliveroo,2025-04-07,2025-W15,17,496.54,0.0,496.54,24.13,,,,,,,"{""original_id"": ""23950f3c-72a9-4fd2-8377-9319ae15419a"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""deliveroo"", ""order_date"": ""2025-04-07T00:00:00.000Z"", ""reporting_week"": ""2025-W15"", ""inserted_at"": ""2025-10-10T07:49:02.153Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889412,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889389"", ""site_name"": ""Loughton"", ""platform"": ""deliveroo"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,ubereats,2025-04-07,2025-W15,5,96.0,0.0,96.0,19.14,,,,,,,"{""original_id"": ""e1874ae0-8862-4005-a1d6-9e3f3dd20d3f"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""ubereats"", ""order_date"": ""2025-04-07T00:00:00.000Z"", ""reporting_week"": ""2025-W15"", ""inserted_at"": ""2025-10-10T07:49:02.157Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889448,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889437"", ""site_name"": ""Loughton"", ""platform"": ""ubereats"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,wingverse,2025-04-07,2025-W15,2,39.7,0.0,39.7,19.85,,,,,,,"{""original_id"": ""a3b944bd-70da-409d-9c25-44090daddf93"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""wingverse"", ""order_date"": ""2025-04-07T00:00:00.000Z"", ""reporting_week"": ""2025-W15"", ""inserted_at"": ""2025-10-10T07:49:02.148Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889472,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889463"", ""site_name"": ""Loughton"", ""platform"": ""wingverse"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,deliveroo,2025-04-15,2025-W16,5,143.65,0.0,143.65,28.73,,,,,,,"{""original_id"": ""748de541-634e-48d6-b486-46e543ed4002"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""deliveroo"", ""order_date"": ""2025-04-15T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.153Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889496,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889487"", ""site_name"": ""Loughton"", ""platform"": ""deliveroo"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,ubereats,2025-04-15,2025-W16,1,16.5,0.0,16.5,16.5,,,,,,,"{""original_id"": ""a2153d64-f275-4de6-91e3-bab82751fdcd"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""ubereats"", ""order_date"": ""2025-04-15T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.157Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889523,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889514"", ""site_name"": ""Loughton"", ""platform"": ""ubereats"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,wingverse,2025-04-15,2025-W16,11,300.15,0.0,300.15,27.29,,,,,,,"{""original_id"": ""d080d2ee-1cc3-430f-b613-f9c2eacea578"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""wingverse"", ""order_date"": ""2025-04-15T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.149Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889545,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889537"", ""site_name"": ""Loughton"", ""platform"": ""wingverse"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,deliveroo,2025-04-16,2025-W16,18,431.85,0.0,431.85,23.99,,,,,,,"{""original_id"": ""b09495d1-453b-49f0-a08c-6a14ff2fbc45"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""deliveroo"", ""order_date"": ""2025-04-16T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.153Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889567,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889559"", ""site_name"": ""Loughton"", ""platform"": ""deliveroo"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,ubereats,2025-04-16,2025-W16,3,100.9,0.0,100.9,33.63,,,,,,,"{""original_id"": ""79da128e-4a69-48d8-a321-933b9cf0541d"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""ubereats"", ""order_date"": ""2025-04-16T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.157Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889603,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889594"", ""site_name"": ""Loughton"", ""platform"": ""ubereats"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,wingverse,2025-04-16,2025-W16,3,91.83,0.0,91.83,30.61,,,,,,,"{""original_id"": ""aabd0d6e-3136-4f56-82e7-01c6d8e6952e"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""wingverse"", ""order_date"": ""2025-04-16T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.149Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889625,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889616"", ""site_name"": ""Loughton"", ""platform"": ""wingverse"", ""data_batch"": ""franchise_sales_2024""}"
a1b2c3d4-e5f6-7890-1234-567890abcdef,1,Loughton,deliveroo,2025-04-17,2025-W16,22,647.62,0.0,647.62,29.44,,,,,,,"{""original_id"": ""95b16f63-ed1b-43c8-8557-d18dbedd07b5"", ""network_id"": ""1"", ""network_type"": ""Franchise"", ""platform"": ""deliveroo"", ""order_date"": ""2025-04-17T00:00:00.000Z"", ""reporting_week"": ""2025-W16"", ""inserted_at"": ""2025-10-10T07:49:02.153Z"", ""source_file"": ""data/orders_clean_Loughton.csv""}",2025-10-12T04:08:08.889647,franchise_sales_intake,"{""intake_source"": ""franchise_sales_export"", ""intake_timestamp"": ""2025-10-12T04:08:08.889638"", ""site_name"": ""Loughton"", ""platform"": ""deliveroo"", ""data_batch"": ""franchise_sales_2024""}"
