id,network_id,network_type,platform,order_date,reporting_week,orders_count,gross_sales,refunds,net_sales,avg_order_value,avg_prep_time,avg_fulfilment_time,completion_rate,delivery_rating,royalty_rate,royalty_value,inserted_at
23950f3c-72a9-4fd2-8377-9319ae15419a,1,Franchise,deliveroo,2025-04-07T00:00:00.000Z,2025-W15,17,496.54,0,496.54,24.13,,,,,,,2025-10-10T07:49:02.153Z
977ac939-240b-46bf-9de9-54781ae228e6,1,Franchise,justeat,2025-04-07T00:00:00.000Z,2025-W15,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.160Z
e1874ae0-8862-4005-a1d6-9e3f3dd20d3f,1,Franchise,ubereats,2025-04-07T00:00:00.000Z,2025-W15,5,96,0,96,19.14,,,,,,,2025-10-10T07:49:02.157Z
a3b944bd-70da-409d-9c25-44090daddf93,1,Franchise,wingverse,2025-04-07T00:00:00.000Z,2025-W15,2,39.7,0,39.7,19.85,,,,,,,2025-10-10T07:49:02.148Z
748de541-634e-48d6-b486-46e543ed4002,1,Franchise,deliveroo,2025-04-15T00:00:00.000Z,2025-W16,5,143.65,0,143.65,28.73,,,,,,,2025-10-10T07:49:02.153Z
7f6d2699-ee3c-4699-8548-5b4974665b43,1,Franchise,justeat,2025-04-15T00:00:00.000Z,2025-W16,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
a2153d64-f275-4de6-91e3-bab82751fdcd,1,Franchise,ubereats,2025-04-15T00:00:00.000Z,2025-W16,1,16.5,0,16.5,16.5,,,,,,,2025-10-10T07:49:02.157Z
d080d2ee-1cc3-430f-b613-f9c2eacea578,1,Franchise,wingverse,2025-04-15T00:00:00.000Z,2025-W16,11,300.15,0,300.15,27.29,,,,,,,2025-10-10T07:49:02.149Z
b09495d1-453b-49f0-a08c-6a14ff2fbc45,1,Franchise,deliveroo,2025-04-16T00:00:00.000Z,2025-W16,18,431.85,0,431.85,23.99,,,,,,,2025-10-10T07:49:02.153Z
9fa49d30-1b42-4880-a28f-d83c99157a16,1,Franchise,justeat,2025-04-16T00:00:00.000Z,2025-W16,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
79da128e-4a69-48d8-a321-933b9cf0541d,1,Franchise,ubereats,2025-04-16T00:00:00.000Z,2025-W16,3,100.9,0,100.9,33.63,,,,,,,2025-10-10T07:49:02.157Z
aabd0d6e-3136-4f56-82e7-01c6d8e6952e,1,Franchise,wingverse,2025-04-16T00:00:00.000Z,2025-W16,3,91.83,0,91.83,30.61,,,,,,,2025-10-10T07:49:02.149Z
95b16f63-ed1b-43c8-8557-d18dbedd07b5,1,Franchise,deliveroo,2025-04-17T00:00:00.000Z,2025-W16,22,647.62,0,647.62,29.44,,,,,,,2025-10-10T07:49:02.153Z
e26fbae6-2363-4d41-8792-b1b32b28093d,1,Franchise,justeat,2025-04-17T00:00:00.000Z,2025-W16,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
30156839-ade2-4cce-aea1-aad7ad8b1a32,1,Franchise,ubereats,2025-04-17T00:00:00.000Z,2025-W16,2,34.25,0,34.25,17.13,,,,,,,2025-10-10T07:49:02.157Z
526c5b32-8aa7-4ee2-ac4a-3b0e97f7fb68,1,Franchise,wingverse,2025-04-17T00:00:00.000Z,2025-W16,3,70.7,0,70.7,23.57,,,,,,,2025-10-10T07:49:02.149Z
149e77c8-dd82-4f53-b874-6a61ecffb656,1,Franchise,deliveroo,2025-04-18T00:00:00.000Z,2025-W16,13,425.44,0,425.44,32.73,,,,,,,2025-10-10T07:49:02.153Z
ba4b96fa-7d46-487c-a38c-169aba7895d0,1,Franchise,justeat,2025-04-18T00:00:00.000Z,2025-W16,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
d87aa6f7-5986-45bb-8879-4725e9ffb22f,1,Franchise,ubereats,2025-04-18T00:00:00.000Z,2025-W16,4,81.88,0,81.88,20.47,,,,,,,2025-10-10T07:49:02.157Z
fe064884-6c0b-4c7f-b6ae-a404a2263da6,1,Franchise,wingverse,2025-04-18T00:00:00.000Z,2025-W16,5,133.55,0,133.55,26.71,,,,,,,2025-10-10T07:49:02.149Z
820fbd55-55e7-4024-8347-7b70c64e6de2,1,Franchise,deliveroo,2025-04-19T00:00:00.000Z,2025-W16,14,355.7,0,355.7,25.41,,,,,,,2025-10-10T07:49:02.153Z
26bb8ddf-a85a-49c3-8bc9-9a1d60e71cdd,1,Franchise,justeat,2025-04-19T00:00:00.000Z,2025-W16,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
783b82f8-f032-4129-b7a3-203610b495a1,1,Franchise,ubereats,2025-04-19T00:00:00.000Z,2025-W16,4,132.06,0,132.06,33.02,,,,,,,2025-10-10T07:49:02.157Z
2147f50c-7f7f-41c2-bd2b-8542dfd4b850,1,Franchise,wingverse,2025-04-19T00:00:00.000Z,2025-W16,4,124.55,0,124.55,31.14,,,,,,,2025-10-10T07:49:02.149Z
957afe26-fd63-47a6-ae38-9e0a4edc758b,1,Franchise,deliveroo,2025-04-20T00:00:00.000Z,2025-W16,27,707.23,0,707.23,26.19,,,,,,,2025-10-10T07:49:02.153Z
0ecccff8-b6a7-4f53-bbf6-2b2de7abc303,1,Franchise,justeat,2025-04-20T00:00:00.000Z,2025-W16,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
afe232b7-81b9-4c29-af2f-1b4265e941f9,1,Franchise,ubereats,2025-04-20T00:00:00.000Z,2025-W16,2,73.49,0,73.49,36.75,,,,,,,2025-10-10T07:49:02.157Z
d3939bfb-44de-47cb-ad56-baca6094e4de,1,Franchise,wingverse,2025-04-20T00:00:00.000Z,2025-W16,7,202.2,0,202.2,28.89,,,,,,,2025-10-10T07:49:02.149Z
7a877e21-687e-483b-9c3b-7598e4254dc3,1,Franchise,deliveroo,2025-04-21T00:00:00.000Z,2025-W17,14,397.66,0,397.66,28.4,,,,,,,2025-10-10T07:49:02.153Z
203e9ce1-09c7-43de-a3aa-c4e0c203d823,1,Franchise,justeat,2025-04-21T00:00:00.000Z,2025-W17,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
3ed624e0-1681-4853-810e-1bb06e393442,1,Franchise,ubereats,2025-04-21T00:00:00.000Z,2025-W17,3,59.97,0,59.97,19.99,,,,,,,2025-10-10T07:49:02.157Z
50cdc8e9-fa61-4a8f-b934-eea55769d3bd,1,Franchise,wingverse,2025-04-21T00:00:00.000Z,2025-W17,3,101.85,0,101.85,33.95,,,,,,,2025-10-10T07:49:02.149Z
2145f38e-ef45-4f9d-bff5-7f9c19fd392d,1,Franchise,deliveroo,2025-04-22T00:00:00.000Z,2025-W17,14,306.62,0,306.62,21.9,,,,,,,2025-10-10T07:49:02.153Z
3f0ff24d-a6e1-4594-ae54-ee9aab98bb07,1,Franchise,justeat,2025-04-22T00:00:00.000Z,2025-W17,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
1dbf0a2c-41e6-4103-a131-98982a707785,1,Franchise,ubereats,2025-04-22T00:00:00.000Z,2025-W17,3,40.89,0,40.89,13.63,,,,,,,2025-10-10T07:49:02.157Z
324fd195-3a73-43a9-8067-71d617d4dd73,1,Franchise,wingverse,2025-04-22T00:00:00.000Z,2025-W17,17,502.93,0,502.93,29.58,,,,,,,2025-10-10T07:49:02.149Z
b0703761-3f2c-4b07-99a3-888b1c160538,1,Franchise,deliveroo,2025-04-23T00:00:00.000Z,2025-W17,21,586.9,0,586.9,27.95,,,,,,,2025-10-10T07:49:02.153Z
55092ad4-54d3-49d4-9383-353dbbd64d12,1,Franchise,justeat,2025-04-23T00:00:00.000Z,2025-W17,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
2ee3bf51-99c0-4fd1-bf62-4d2912ae0aae,1,Franchise,ubereats,2025-04-23T00:00:00.000Z,2025-W17,2,69.33,0,69.33,34.67,,,,,,,2025-10-10T07:49:02.157Z
d0ae3ed0-909d-4c07-9242-a0e8e30edd42,1,Franchise,wingverse,2025-04-23T00:00:00.000Z,2025-W17,2,39.83,0,39.83,19.92,,,,,,,2025-10-10T07:49:02.149Z
75554c9b-f39a-48d0-80b3-e30a7629357b,1,Franchise,deliveroo,2025-04-24T00:00:00.000Z,2025-W17,20,664.06,0,664.06,33.2,,,,,,,2025-10-10T07:49:02.153Z
e427f516-42aa-42e0-809f-72b94d1488e5,1,Franchise,justeat,2025-04-24T00:00:00.000Z,2025-W17,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
461851fd-f111-4f0a-ad0c-db24b5750da4,1,Franchise,ubereats,2025-04-24T00:00:00.000Z,2025-W17,10,244.58,0,244.58,24.46,,,,,,,2025-10-10T07:49:02.157Z
e5a7057c-cf6d-49ed-a58e-08b1eee27ea6,1,Franchise,wingverse,2025-04-24T00:00:00.000Z,2025-W17,7,223.83,0,223.83,31.98,,,,,,,2025-10-10T07:49:02.149Z
f4acbdd1-e0de-4ead-a3b6-51d4662de247,1,Franchise,deliveroo,2025-04-25T00:00:00.000Z,2025-W17,23,771.75,0,771.75,33.55,,,,,,,2025-10-10T07:49:02.153Z
da64d357-62a8-485c-bf82-66a81676c6d1,1,Franchise,justeat,2025-04-25T00:00:00.000Z,2025-W17,0,0,0,0,0,,,,,,,2025-10-10T07:49:02.161Z
